fid;ID;CD_GEOCODM;NM_MUNICIP;CODIGO;V8Mo;V8d;V8;V1;V2;V3;V4;V5;V6;V7;I_V1;CL_V1;I_V2;CL_V2;I_V3;CL_V3;I_V4;CL_V4;I_V5;CL_V5;I_V6;CL_V6;I_V7;CL_V7;I_V8;CL_V8;DB2001;HB2001;LTB2001;DBC2001;HBC2001;LTBC2001;DM2001_2009;HM2001_2009;LTM2001_2009;CMD20012009;CMH20012009;CMLT20012009
64;422;5205471;CHAPADÃO DO CÉU;5205471;3778;1026;3,68;26,51;65,89;22,61;9,74;49,12;1,83;2,53;0,10632874;0;0,150374341;0;0,014294689;0;0,212073816;0;0,000147199;0;0,33138653;0;0,646423211;0;-0,031168903;0;103,031795;19,06173728;20,19445906;Medio;Alto;Hiperendem;38,3033;28,47;13,5847;Baixo;MuitoAlto;MuitoAlto
65;423;5205497;CIDADE OCIDENTAL;5205497;40377;10301;3,92;18,08;40,34;19,1;10,78;57,43;4,61;9,98;-0,476966764;0;0,995942125;0;0,794531721;2;1,164034475;2;0,233226785;0;0,107280319;0;0,03755918;0;0,567429612;1;48,54319612;23,15933044;0,37324363;Baixo;MuitoAlto;Baixo;31,5524;16,039;1,1576;Baixo;Alto;Medio
66;424;5205513;COCALZINHO DE GOIÁS;5205513;14626;3803;3,85;53,77;83,51;47,33;19,86;58,65;9,19;15,83;2,142256673;1;0,112373386;0;1,005589147;1;0,264432673;1;0,286590838;0;0,111067275;0;1,078361194;1;0,455438513;1;28,57618805;24,14278253;12,83612038;Baixo;MuitoAlto;MuitoAlto;17,1007;48,509;10,1213;Baixo;Hiperendemico;MuitoAlto
67;425;5205521;COLINAS DO SUL;5205521;3702;1015;3,65;35,37;72,71;43,15;22,38;76,38;16,89;18,13;0,016439834;0;0,075728996;0;0,241865654;0;1,016581839;1;1,842099811;1;1,111121066;0;1,545679828;1;0,206684421;1;9,736477741;20,00058287;57,94241142;Baixo;MuitoAlto;Hiperendem;14,1566;92,24;86,5489;Baixo;Hiperendemico;Hiperendemico
68;426;5205703;CÓRREGO DO OURO;5205703;2973;938;3,17;40,3;83,58;47,76;16,64;25,32;6,35;5,65;-0,20001144;0;0,13845633;0;0,394794105;0;0,076628748;0;0,617803215;0;0,01299652;0;0,342654892;2;0,328323303;0;75,19336793;60,97774702;3,474895321;Baixo;Hiperendem;Medio;84,1189;67,543;4,8318;Baixo;Hiperendemico;Medio
69;427;5205802;CORUMBÁ DE GOIÁS;5205802;9679;2582;3,75;52,17;69,83;56,31;19,87;52,3;5,35;7,55;0,586837227;0;-0,139899543;0;0,530635421;0;0,095601317;0;0,063069983;0;-0,07026928;0;-0,105606994;0;0,238781986;0;3,958814935;94,78084992;1,444962439;Baixo;Hiperendem;Medio;9,4976;24,221;1,9821;Baixo;MuitoAlto;Medio
70;428;5205901;CORUMBAÍBA;5205901;6655;2021;3,29;35,82;90,75;25,38;11,24;39,24;6,1;4,8;-0,101965236;4;-0,246454102;0;0,410557926;2;0,82927902;2;0,594459476;2;0,05478081;2;0,307934631;0;0,149120422;0;5,501571276;90,24677983;1,908792533;Baixo;Hiperendem;Medio;31,3437;84,438;2,2526;Baixo;Hiperendemico;Medio
71;429;5206206;CRISTALINA;5206206;34116;8749;3,9;30,31;87,26;31,28;16,54;56,99;5,38;7,58;0,111200732;0;-0,876617975;4;0,134924979;2;0,264626406;2;0,079230432;0;0,127523421;0;0,015815403;0;0,357782765;0;26,49346318;27,2143453;24,81355656;Baixo;MuitoAlto;Hiperendem;15,0862;47,398;8,3249;Baixo;Hiperendemico;Alto
72;430;5206305;CRISTIANÓPOLIS;5206305;2924;903;3,24;24,03;94,68;21,04;11,1;27,1;1,24;8,08;-0,530461517;3;0,537606671;1;-0,232855654;0;1,127285485;2;1,881154431;2;0,869206158;2;0,0774639;2;0,021132087;0;105,3868212;41,66567022;3,445395338;Medio;Hiperendem;Medio;77,6613;34,089;2,1829;Baixo;MuitoAlto;Medio
73;431;5206404;CRIXÁS;5206404;14673;4140;3,54;44,95;82,25;32,97;18,48;58,77;11,66;11,3;0,3363365;0;-0,060570131;0;-0,013247594;0;0,060104227;0;0,230773207;0;0,125292589;0;-0,108303186;0;0,017488358;0;58,6090268;172,0191291;140,2082807;Baixo;Hiperendem;Hiperendem;189,7674;167,778;54,952;Medio;Hiperendemico;Hiperendemico
74;432;5206503;CROMÍNIA;5206503;3660;1136;3,22;23,24;84,86;27,46;16,21;31,35;4,41;3,79;-0,316661626;0;0,176164909;0;-0,086869677;0;0,044876657;0;1,007224773;0;0,326488364;2;0,508960375;0;0,06946685;0;9,855993806;70,14047545;3,0008467;Baixo;Hiperendem;Medio;60,6698;35,94;3,9232;Baixo;MuitoAlto;Medio
75;433;5206602;CUMARI;5206602;3105;992;3,13;27,12;41,13;27,42;14,58;25,81;7,04;10,18;0,489755665;2;-0,290951688;0;0,330382994;2;0,729605645;2;0,489920764;0;-0,058319543;4;-0,217321754;4;0,234671384;0;190,2478704;22,21046762;3,343219676;Medio;MuitoAlto;Medio;47,0312;27,419;4,6647;Baixo;MuitoAlto;Medio
76;434;5206701;DAMIANÓPOLIS;5206701;3303;856;3,86;29,91;56,31;70,91;28,06;60,38;11,95;6,89;0,134303954;0;0,866075482;0;4,589454978;1;4,955557682;1;1,115653472;1;3,000921911;1;-0,838693112;3;1,041553923;1;11,06734599;57,58669528;3,258661483;Baixo;Hiperendem;Medio;13,4067;33,128;7,2587;Baixo;MuitoAlto;Alto
77;435;5206800;DAMOLÂNDIA;5206800;2573;780;3,3;30,13;93,08;26,15;17,11;42,75;3,06;7,44;0,01085705;0;0,376607374;0;0,188033613;0;0,035207099;0;0,072098935;0;0,293874911;0;0,073378311;0;0,002147224;0;49,64966984;65,74865217;3,78433473;Baixo;Hiperendem;Medio;55,478;42,808;2,4509;Baixo;Hiperendemico;Medio
78;436;5206909;DAVINÓPOLIS;5206909;2109;665;3,17;39,85;90,08;43,01;18,87;87,41;4,83;4,36;-0,432453261;0;-0,125585809;0;-0,44113707;0;-0,292184325;4;-2,142621632;0;0,263177845;0;0,372259616;0;0,103676922;0;16,51715925;27,34475467;4,235564835;Baixo;MuitoAlto;Medio;35,6936;38,638;2,8332;Baixo;MuitoAlto;Medio
79;437;5207105;DIORAMA;5207105;2498;790;3,16;44,43;79,11;44,43;18,23;37,11;4,39;1,52;-0,147098721;0;0,119080241;0;0,033106493;0;-0,00059246;0;-0,032514137;0;0,114281578;0;0,211132242;0;0,233344428;0;51,19069581;129,4203884;3,859918394;Baixo;Hiperendem;Medio;100,1767;76,382;17,3766;Medio;Hiperendemico;MuitoAlto
80;438;5207253;DOVERLÂNDIA;5207253;8558;2395;3,57;37,37;64,51;44,84;21,2;35,01;10,72;10,69;-0,011682341;0;0,681032672;2;0,080452606;0;0,183565898;0;-0,468697704;0;0,132067538;0;-0,018049292;0;-0,00797855;0;39,49209561;123,8710878;71,1133143;Baixo;Hiperendem;Hiperendem;575,6638;103,468;125,2704;MuitoAlto;Hiperendemico;Hiperendemico
81;439;5207352;EDEALINA;5207352;3803;1197;3,18;46,2;89,97;39,1;17,81;46,29;3,95;2,84;-0,460500496;0;0,09663658;0;-0,175502432;0;-0,001295807;0;0,075685335;0;0,244518412;0;0,49393034;0;0,068079215;0;9,65114192;85,61657178;2,955501217;Baixo;Hiperendem;Medio;26,1214;54,751;1,93;Baixo;Hiperendemico;Medio
82;440;5207402;EDÉIA;5207402;10223;3084;3,31;33,14;93,61;23,67;15,19;39,94;2,24;1,65;0,005649438;0;0,25404163;0;0,319000004;0;-0,170655132;0;0,122401497;0;0,166168979;0;0,184590679;0;-0,000254032;0;79,18707359;33,19912927;1,342884023;Baixo;MuitoAlto;Medio;125,8066;59,235;1,7749;Medio;Hiperendemico;Medio
83;441;5207501;ESTRELA DO NORTE;5207501;3398;987;3,44;37,28;82,78;45,8;20,74;44,39;9,01;13,37;-0,036203964;0;0,030907319;0;0,369688455;0;0,163578293;0;-0,186201136;0;0,418923364;0;0,326745817;0;-0,002055315;0;66,10771647;56,31381705;3,17827514;Baixo;Hiperendem;Medio;51,0149;136,973;4,4703;Baixo;Hiperendemico;Medio
84;442;5207535;FAINA;5207535;7419;2088;3,55;51,34;72,8;56,23;23,05;60;5,23;11,02;0,19726525;0;-0,029472221;0;0,493580814;0;0,242739412;0;0,327059805;0;-0,010142576;0;-0,043509046;0;-0,016878953;0;18,3197411;33,25027321;23,86231676;Baixo;MuitoAlto;Hiperendem;17,0113;46,515;25,2551;Baixo;Hiperendemico;Hiperendemico
85;443;5207600;FAZENDA NOVA;5207600;7093;2265;3,13;37,75;82,83;55,54;16,79;53,19;6,37;7,24;0,014671137;0;0,222060957;1;1,036827868;1;0,006389919;0;-0,019149779;0;0,016061362;0;0,124827168;0;0,301869984;0;32,64833187;66,07627013;1,843545601;Baixo;Hiperendem;Medio;46,0238;53,024;1,2102;Baixo;Hiperendemico;Medio
86;444;5207808;FIRMINÓPOLIS;5207808;9909;3087;3,21;20,96;94,43;33,17;15,72;47,46;4,26;6,54;0,357414226;0;-0,345834971;0;0,006787564;0;0,180559844;0;0,117857401;2;0,236346229;0;0,337851008;2;0,231746836;0;13,65824352;34,40929024;9,983380557;Baixo;MuitoAlto;Alto;51,0011;39,316;3,8495;Baixo;MuitoAlto;Medio
87;445;5207907;FLORES DE GOIÁS;5207907;7514;1447;5,19;57,84;62,47;80,44;26,46;76,78;19,62;28,06;-0,832080598;0;0,040983789;0;2,114220028;1;1,718589444;1;2,272976239;1;2,73147801;1;5,328777265;1;3,504464248;1;4,790399424;11,93714175;1,700809149;Baixo;Alto;Medio;7,1391;27,625;4,426;Baixo;MuitoAlto;Medio
88;446;5208004;FORMOSA;5208004;78651;19783;3,98;22,59;89,93;18,75;15,81;61,33;10,2;16,38;0,112078985;0;-0,144013076;0;-0,378438786;0;-0,235758324;0;0,843532096;1;0,806347304;1;1,74605543;1;1,080661201;1;54,69930934;21,87758618;1,406443812;Baixo;MuitoAlto;Medio;20,9416;27,757;5,0735;Baixo;MuitoAlto;Alto
89;447;5208103;FORMOSO;5208103;5589;1618;3,45;32,94;80,35;39,8;16,72;63,73;19,42;13,47;0,024823083;0;0,058847368;0;0,122404993;0;-0,036592621;0;0,383664871;0;1,122164893;0;0,343438472;0;-0,007832813;0;41,59119202;66,5624874;16,06609145;Baixo;Hiperendem;MuitoAlto;72,8753;99,843;14,1975;Baixo;Hiperendemico;MuitoAlto
90;448;5208152;GAMELEIRA DE GOIÁS;5208152;0;0;0;0;0;0;0;0;0;0;-0,250935113;0;0,379852569;0;0,220580389;0;2,513790754;0;2,430746256;0;0,383843671;0;0,224053286;0;-0,980709409;0;13,49759088;24,45961448;3,727848557;Baixo;MuitoAlto;Medio;28,8208;21,77;10,7308;Baixo;MuitoAlto;MuitoAlto
91;449;5208301;DIVINÓPOLIS DE GOIÁS;5208301;5172;1280;4,04;26,25;72,66;34,61;28,28;71,44;12,91;13,98;-0,05919556;0;0,057117052;0;0,056394528;1;3,287274878;1;1,946271222;1;2,627845628;1;2,210673241;1;1,194961928;1;7,115569513;56,07203723;31,26696785;Baixo;Hiperendem;Hiperendem;242,3652;50,007;51,818;Alto;Hiperendemico;Hiperendemico
92;450;5208400;GOIANÁPOLIS;5208400;10671;2812;3,79;28,24;97,51;11,06;18,75;65,19;2,71;15,33;0,167089056;0;-0,008432892;0;1,389391441;2;-0,1162937;4;-0,114372514;0;0,437586158;2;-0,404928137;0;0,157125648;0;21,14840515;46,44325568;1,270373661;Baixo;Hiperendem;Medio;20,5302;42,896;1,6214;Baixo;Hiperendemico;Medio
93;451;5208509;GOIANDIRA;5208509;4967;1536;3,23;16,6;92,45;18,82;11,96;39,95;5,98;5,27;1,246861158;2;-0,892662097;4;0,639717337;0;1,015904092;2;0,521998699;2;0,085222709;2;0,367164732;0;0,173833653;0;221,232156;58,16358177;2,442736571;Alto;Hiperendem;Medio;41,8997;69,47;1,5865;Baixo;Hiperendemico;Medio
94;452;5208608;GOIANÉSIA;5208608;49160;13693;3,59;32,99;62;9,56;15,98;46,71;4,17;7,3;-0,063568818;3;-0,177223391;0;-1,057875188;3;-0,280439043;3;-0,022335729;0;0,127904443;0;0,019675864;0;0,070231337;0;32,80403324;113,7750118;4,20289823;Baixo;Hiperendem;Medio;152,4856;102,355;5,2747;Medio;Hiperendemico;Alto
95;453;5208707;GOIÂNIA;5208707;1093007;313708;3,48;12,59;19,26;1,23;7,35;41,7;2,56;6,26;-0,316256261;0;-1,728646953;3;1,963354446;2;0,931373245;0;-0,180666488;0;0,503411299;2;0,084902808;0;0,000265854;0;510,446452;74,34965597;3,158255803;MuitoAlto;Hiperendem;Medio;929,1902;64,456;2,0072;MuitoAlto;Hiperendemico;Medio
96;454;5208806;GOIANIRA;5208806;18719;5242;3,57;43,59;88,82;12,86;15,54;50,19;5,46;13,3;-0,34283742;0;-0,140195299;0;1,365809662;2;0,251147511;0;-0,010999808;0;0,170340021;2;-0,461118801;0;0,026506198;0;132,6875846;110,1591144;0,759128572;Medio;Hiperendem;Baixo;695,2754;95,471;2,2838;MuitoAlto;Hiperendemico;Medio
97;455;5208905;GOIÁS;5208905;27120;7855;3,45;28,21;67,32;32,18;17,32;58,43;3,91;6,93;-0,065245253;0;-0,108795001;0;-0,05589595;3;-0,005599176;0;-0,027153298;0;0,099181152;0;0,043332291;0;0,005921406;0;74,8490357;109,8294061;7,525172235;Baixo;Hiperendem;Alto;81,402;124,583;10,1628;Baixo;Hiperendemico;MuitoAlto
98;456;5209101;GOIATUBA;5209101;31130;9395;3,31;32,58;81,35;13,44;12,74;35,67;3,41;2,9;0,04807263;0;-0,110159236;0;1,066439721;2;0,133075456;0;0,533621458;2;0,254063516;0;0,068188204;0;0,083407212;0;13,93149074;9,562340536;15,65401354;Baixo;Medio;MuitoAlto;29,888;32,212;8,7113;Baixo;MuitoAlto;Alto
99;457;5209150;GOUVELÂNDIA;5209150;4009;1242;3,23;42,67;88,65;48,55;17,67;58,59;6,51;2,98;0,062421712;0;-0,215569194;0;-0,665259651;0;-0,002508637;0;-0,19263625;0;0,005635513;0;0,022007509;0;0,117163729;0;9,136366859;19,17652322;2,839198359;Baixo;Alto;Medio;473,5887;82,107;13,9043;MuitoAlto;Hiperendemico;MuitoAlto
100;458;5209200;GUAPÓ;5209200;13863;3756;3,69;30,4;92,73;37,65;17,14;46,33;4,68;4,02;-0,126986698;0;0,145087791;0;-0,058473502;0;0,034462571;0;-0,050942458;0;0,19224112;2;0,478395641;2;0,042794244;0;253,8334668;214,3506929;13,65653084;Alto;Hiperendem;MuitoAlto;238,8056;138,269;3,3853;Alto;Hiperendemico;Medio
101;459;5209291;GUARAÍTA;5209291;2794;842;3,32;52,97;71,73;53,33;17,8;50,97;9,03;11,16;0,194379003;0;-0,017377191;0;0,511756336;0;0,000420884;0;0,051976736;0;-0,135223022;0;0,048722711;0;0,008707208;0;12,74335121;23,6516891;3,588581385;Baixo;MuitoAlto;Medio;39,7603;25,417;5,8097;Baixo;MuitoAlto;Alto
102;460;5209408;GUARANI DE GOIÁS;5209408;4678;1096;4,27;46,17;54,47;61,41;31,61;62,35;15,93;24,18;-0,01746509;0;0,171876615;0;1,704096918;1;4,47836846;1;1,031036656;1;3,1837302;1;5,766597081;1;1,942418251;1;91,45099011;32,08924201;50,23789736;Baixo;MuitoAlto;Hiperendem;146,3794;68,333;40,145;Medio;Hiperendemico;Hiperendemico
103;461;5209457;GUARINOS;5209457;2844;807;3,52;43;65,8;58,12;18,8;66,33;17,8;16,36;0,6423531;1;0,038274788;0;0,542754383;0;-0,003069296;0;0,504295376;0;0,34227998;0;-0,575021864;0;0,011966429;0;12,99251658;43,69195151;3,635189207;Baixo;Hiperendem;Medio;38,7287;92,377;2,5347;Baixo;Hiperendemico;Medio
104;462;5209606;HEITORAÍ;5209606;3445;925;3,72;27,35;76,86;39,14;16,28;55,91;5,86;6,05;0,179117968;0;0,036084298;0;-0,048739134;0;0,029517436;0;-0,028304358;0;0,056364297;0;0,091154603;0;-0,034018381;0;10,32880332;123,8126918;3,103538305;Baixo;Hiperendem;Medio;61,3744;63,51;8,0463;Baixo;Hiperendemico;Alto
105;463;5209705;HIDROLÂNDIA;5209705;13086;3697;3,54;48,55;89,75;43,06;15,88;30,92;2,12;4,87;0,723475724;1;0,299430295;0;-0,082363561;0;0,113954017;0;0,46586795;0;0,636146152;2;0,571081025;2;-0,026090863;0;237,3302228;40,54551909;1,102557654;Alto;Hiperendem;Medio;195,5289;66,999;3,3943;Medio;Hiperendemico;Medio
106;464;5209804;HIDROLINA;5209804;4548;1329;3,42;39,88;82,24;51,92;16,56;63,97;7,04;8,28;0,516978414;1;-0,00291679;0;0,722020644;0;-0,065982325;0;0,505562936;0;-0,005950488;0;0,013689569;0;-0,038957982;0;135,7337417;61,94621342;2,616775481;Medio;Hiperendem;Medio;71,9015;76,656;17,8541;Baixo;Hiperendemico;MuitoAlto
107;465;5209903;IACIARA;5209903;11295;2656;4,25;31,36;85,32;41,91;24,17;76,38;14,36;21,23;-0,035576072;0;-0,25602295;0;0,738576888;1;2,01086121;1;2,150947741;1;2,6942408;1;5,081652253;1;2,126545449;1;2974,803379;16,12940453;8,866223704;Hiperendem;Alto;Alto;365,544;40,106;6,6368;MuitoAlto;Hiperendemico;Alto
108;466;5209937;INACIOLÂNDIA;5209937;5239;1566;3,35;30,52;95,98;27,59;23,32;51,15;7,29;8,68;-0,017721426;0;-0,309989414;0;0,255225191;0;-0,268828008;0;-0,060559646;0;-0,027729854;0;-0,002046154;0;0,05755591;0;43,40761253;15,94901466;2,320856862;Baixo;Alto;Medio;874,8729;51,813;2,9853;MuitoAlto;Hiperendemico;Medio
109;467;5209952;INDIARA;5209952;11816;3382;3,49;23,74;92,64;21,94;16,69;52,14;4,89;7,24;-0,296229779;0;0,13796247;0;0,244665688;0;0,077615527;0;0,01985951;0;0,118293768;0;0,143302002;0;-0,004552594;0;3,142734879;22,36172526;1,179545161;Baixo;MuitoAlto;Medio;89,4159;57,437;0,7168;Baixo;Hiperendemico;Baixo
110;468;5210000;INHUMAS;5210000;43897;12520;3,51;26,05;62,57;8,99;13,73;45,53;3,72;6,76;0,077585229;0;-0,440470097;3;0,788840747;0;-0,022588715;0;0,086368872;0;0,292460847;0;0,157735257;0;-0,006977784;0;70,09212773;122,0628137;0,350797421;Baixo;Hiperendem;Baixo;47,2199;87,449;1,8527;Baixo;Hiperendemico;Medio
111;469;5210109;IPAMERI;5210109;22628;6814;3,32;21,28;40,78;19,99;12,86;39,41;1,75;3,11;0,213455708;0;-0,387027284;0;0,365530512;2;0,948180285;2;0,351238555;2;0,516420982;2;0,474534064;2;0,019768036;0;45,10615958;16,76241613;0,661961254;Baixo;Alto;Baixo;39,8252;21,587;1,7365;Baixo;MuitoAlto;Medio
112;470;5210158;IPIRANGA DE GOIÁS;5210158;0;0;0;0;0;0;0;0;0;0;1,128625919;0;-1,88981679;0;0,242612898;0;1,382443147;0;1,556033431;0;0,427404151;0;0,404806637;0;0,609349447;0;12,72231814;23,62859809;3,584619364;Baixo;MuitoAlto;Medio;52,3498;58,378;6,995;Baixo;Hiperendemico;Alto
113;471;5210208;IPORÁ;5210208;31300;9620;3,25;15,53;95,23;14,8;13,94;39,07;4,67;6,34;-0,227633139;0;0,40560823;0;-0,645057134;0;-0,143352784;0;-0,048083413;0;0,082859338;0;0,190916195;0;0,230233895;0;32,7632239;95,32325811;12,53802042;Baixo;Hiperendem;MuitoAlto;100,3771;85,983;14,6331;Medio;Hiperendemico;MuitoAlto
114;472;5210307;ISRAELÂNDIA;5210307;3004;930;3,23;30,11;92,69;44,84;18,7;63,42;4,43;4,09;0,101749863;0;0,583541175;1;0,192694234;0;-0,041534791;0;-0,008227157;0;0,103917078;0;0,249861051;0;0,232602463;0;12,12971843;79,89735536;3,471180226;Baixo;Hiperendem;Medio;30,2642;77,161;10,1031;Baixo;Hiperendemico;MuitoAlto
115;473;5210406;ITABERAÍ;5210406;27879;7943;3,51;32,07;90,94;26,84;18,21;51;3,81;5,6;0,049231206;0;0,008724303;0;0,053295498;0;-0,009007626;0;-0,037733045;0;0,015650789;0;0,206506598;0;-0,011391794;0;25,95982726;95,64103213;0,542051649;Baixo;Hiperendem;Baixo;127,7405;75,098;2,0158;Medio;Hiperendemico;Medio
116;474;5210562;ITAGUARI;5210562;4385;1362;3,22;37,89;74,74;26,73;20;53,25;9,17;4,04;-0,057603949;0;-0,007846674;0;0,080773046;0;-0,102558041;0;0,000358216;0;-0,090936391;0;-0,021567252;0;0,041087962;0;8,505279871;33,36827563;2,691841438;Baixo;MuitoAlto;Medio;48,9727;104,869;1,705;Baixo;Hiperendemico;Medio
117;475;5210604;ITAGUARU;5210604;5696;1682;3,39;23,72;79,13;27,59;15,19;53,07;6,06;8,98;0,091448744;0;0,077035289;0;0,101772791;0;0,051997817;0;-0,034131249;0;0,031139405;0;-0,021933094;0;0,014176661;0;40,69017593;27,7848077;2,205156472;Baixo;MuitoAlto;Medio;126,0383;38,829;7,7758;Medio;MuitoAlto;Alto
118;476;5210802;ITAJÁ;5210802;6572;1944;3,38;37,5;48,71;35,7;17,32;32,59;3,3;9,26;-0,067251611;0;1,358523794;0;-0,012663424;0;0,106741675;2;0,944626203;0;0,50440424;2;-0,121621644;4;0,428552069;2;40,27793989;15,09926626;42,60919794;Baixo;Alto;Hiperendem;81,6565;18,313;64,8352;Baixo;Alto;Hiperendemico
119;477;5210901;ITAPACI;5210901;13931;3938;3,54;35,37;75,77;32,78;16,57;45,95;4,45;6,3;0,031724936;0;-0,00943934;0;-0,022643654;0;0,07986896;0;0,017469859;0;-0,103998455;0;0,092999338;0;-0,082379514;4;9,6743716;56,11679487;7,347394141;Baixo;Hiperendem;Alto;132,1197;110,346;11,2668;Medio;Hiperendemico;MuitoAlto
120;478;5211008;ITAPIRAPUÃ;5211008;10856;3017;3,6;38,58;84,02;45,97;19,23;50,33;7,76;11,37;-0,020601327;0;0,049904493;0;0,202429647;0;0,03410422;0;0,022468946;0;-0,094659552;0;-0,045638991;0;-0,024131755;0;12,18542487;16,41816978;1,26148905;Baixo;Alto;Medio;31,6885;53,998;7,8215;Baixo;Hiperendemico;Alto
121;479;5211206;ITAPURANGA;5211206;26740;7879;3,39;28,43;92,23;36,3;18,26;48,23;6,62;9,66;-0,124446419;0;0,073745283;0;0,075695799;0;-0,000501651;0;-0,011586371;0;0,000199116;0;0,003793321;0;0,019072473;0;35,10221144;49,29035394;18,28235226;Baixo;Hiperendem;MuitoAlto;175,8361;49,194;7,6716;Medio;Hiperendemico;Alto
122;480;5211305;ITARUMÃ;5211305;5446;1669;3,26;52,01;60,22;51,17;17,74;48,65;4,34;3,06;0,010374163;0;0,455849526;0;0,03790081;0;0,003236388;0;0,007506434;0;0,231478766;0;0,499567596;0;0,075011123;0;60,22393948;41,61736477;30,36681678;Baixo;Hiperendem;Hiperendem;92,6539;29,53;70,4546;Baixo;MuitoAlto;Hiperendemico
123;481;5211404;ITAUÇU;5211404;8277;2450;3,38;22,2;94,53;22,69;15,51;40,98;5,8;5,76;0,227292003;0;0,411620065;0;0,327028233;0;-0,021673836;0;0,189305442;0;0,03655624;0;0,212837718;0;0,030663745;0;28,62476471;165,0786111;1,650992539;Baixo;Hiperendem;Medio;57,822;78,708;2,2296;Baixo;Hiperendemico;Medio
124;482;5211503;ITUMBIARA;5211503;81430;24216;3,36;27,38;34,77;9,96;12,51;34,15;2,9;6,66;0,112499024;0;-0,437107312;0;1,17035977;2;0,008663239;0;0,775925054;2;0,130630116;0;0,043746336;0;0,084954704;0;243,4480526;21,57509669;7,352683738;Alto;MuitoAlto;Alto;264,4936;50,988;5,5698;Alto;Hiperendemico;Alto
125;483;5211602;IVOLÂNDIA;5211602;2992;971;3,08;48,51;75,28;58,19;20,29;44,87;8,06;4,43;-0,170192632;0;0,00112673;0;0,123907565;0;0,023338839;0;0,014087432;0;-0,090448652;0;0,288791244;0;0,220445298;0;74,32648047;41,6892483;3,447590451;Baixo;Hiperendem;Medio;29,2585;42,98;10,2071;Baixo;Hiperendemico;MuitoAlto
126;484;5211701;JANDAIA;5211701;6342;1984;3,2;36,9;81,8;28,33;13,99;50,51;8,38;6,85;0,045396302;0;0,081548069;0;0,14196594;0;0,183021411;0;-0,020448319;0;-0,19290886;0;0,177659643;0;0,072938661;0;37,3223324;37,83994705;2,057321165;Baixo;MuitoAlto;Medio;48,2264;109,427;4,0109;Baixo;Hiperendemico;Medio
127;485;5211800;JARAGUÁ;5211800;33284;9248;3,6;33,16;82,57;33,13;15,53;49,15;3,16;9,47;-3,9336E-05;0;0,138876553;0;0,006376167;0;-0,017491113;0;-0,001637227;0;0,014450736;0;-0,050411133;0;-0,021184821;0;59,7525775;66,86324753;8,879048638;Baixo;Hiperendem;Alto;155,6538;69,232;7,9538;Medio;Hiperendemico;Alto
128;486;5211909;JATAÍ;5211909;75451;21395;3,53;23,53;35,99;22,93;12,79;45,33;4,48;7,16;0,055680336;0;1,410318671;2;0,164185067;0;0,141088136;0;0,019999894;0;0,197265783;2;0,119922199;0;0,010894512;0;65,25646538;69,61884602;20,53384406;Baixo;Hiperendem;Hiperendem;218,9274;43,903;14,2187;Alto;Hiperendemico;MuitoAlto
129;487;5212006;JAUPACI;5212006;3154;955;3,3;25,55;89,32;29,21;19,21;60,79;8,73;13,09;-0,034857565;0;0,413810813;1;-0,131193771;0;-0,039818735;0;-0,092720371;0;-0,168352517;0;-0,600432171;4;0,159202742;0;11,41142274;40,40870837;23,83438729;Baixo;Hiperendem;Hiperendem;20,923;50,046;4,4615;Baixo;Hiperendemico;Medio
130;488;5212055;JESÚPOLIS;5212055;2123;602;3,53;40,37;95,85;31,56;20,06;61,34;4,02;3,49;0,195349469;0;0,549392873;0;-0,018465607;0;0,051254073;0;-0,193765505;0;0,126129055;0;0,413384051;0;-0,002045781;0;101,4910108;27,240113;4,216861006;Medio;MuitoAlto;Medio;38,4122;50,457;2,75;Baixo;Hiperendemico;Medio
131;489;5212105;JOVIÂNIA;5212105;6904;2093;3,3;24,46;95,27;16,39;14,4;34,58;4,78;8,41;0,454233627;0;0,202150179;0;0,896494793;2;0,311323301;0;0,793351165;2;0,197461588;0;0,018517018;0;0,155578384;0;102,798358;45,38520936;1,869446071;Medio;Hiperendem;Medio;58,3458;57,291;15,4588;Baixo;Hiperendemico;MuitoAlto
132;490;5212204;JUSSARA;5212204;20034;5840;3,43;25,62;82,05;32,36;17,54;49,13;5,32;9,3;-0,216318535;0;0,109092147;0;-0,067839112;3;-0,00365306;0;0,000957551;0;0,054361771;0;-0,015097233;0;0,019653378;0;16,79821521;275,1584513;9,986445327;Baixo;Hiperendem;Alto;270,1026;283,331;11,165;Alto;Hiperendemico;MuitoAlto
133;491;5212253;LAGOA SANTA;5212253;0;0;0;0;0;0;0;0;0;0;-0,605239249;0;4,330388441;0;-0,216650956;0;0,316891015;0;3,241110499;0;0,901124381;0;-0,181286693;0;1,165382299;0;33,44481363;37,2985484;6,121960217;Baixo;MuitoAlto;Alto;72,6052;69,87;21,5422;Baixo;Hiperendemico;Hiperendemico
134;492;5212303;LEOPOLDO DE BULHÕES;5212303;7766;2236;3,47;35,55;87,48;40,88;16,24;33,49;4,53;7,96;0,029516156;0;0,224877298;0;-0,194958227;0;0,158142848;0;0,601812746;0;0,226437919;2;-0,003193787;0;-0,004621604;0;4,810129337;21,87279938;1,70670994;Baixo;MuitoAlto;Medio;18,1002;45,824;1,0401;Baixo;Hiperendemico;Medio
