fid;ID;CD_GEOCODM;NM_MUNICIP;CODIGO;V8Mo;V8d;V8;V1;V2;V3;V4;V5;V6;V7;I_V1;CL_V1;I_V2;CL_V2;I_V3;CL_V3;I_V4;CL_V4;I_V5;CL_V5;I_V6;CL_V6;I_V7;CL_V7;I_V8;CL_V8;DB2001;HB2001;LTB2001;DBC2001;HBC2001;LTBC2001;DM2001_2009;HM2001_2009;LTM2001_2009;CMD20012009;CMH20012009;CMLT20012009
16;374;5201108;ANÁPOLIS;5201108;288085;80423;3,58;19,61;47,69;6,62;10,12;44,27;3,64;6,85;0,270560304;0;0,176560197;0;0,614889618;0;1,009413167;2;0,201854848;2;0,318699328;2;0,146993028;2;-0,177410739;4;37,8444668;43,35159783;3,153568446;Baixo;Hiperendem;Medio;41,3591;36,204;1,7509;Baixo;MuitoAlto;Medio
17;375;5201207;ANHANGUERA;5201207;895;276;3,24;15,94;87,32;10,87;10,37;66,06;0;3,99;0,621645473;0;-0,909260481;0;0,493155838;0;0,897094859;0;-1,594419307;0;-0,11710186;0;-0,237092491;0;0,281710404;0;34,67865;37,77592784;6,218102229;Baixo;MuitoAlto;Alto;51,2653;49,074;4,1665;Baixo;Hiperendemico;Medio
18;376;5201306;ANICUNS;5201306;18754;5581;3,36;28,15;24,3;25,98;15,95;37,96;6,43;6,33;0,146109394;0;-0,874953821;0;0,040118799;0;0,002626706;0;0,281758227;0;0,000951684;0;0,204843209;0;0,057279029;0;59,71775224;57,7108375;5,652093817;Baixo;Hiperendem;Alto;45,7806;55,404;2,6918;Baixo;Hiperendemico;Medio
19;377;5201405;APARECIDA DE GOIÂNIA;5201405;336392;90943;3,7;60,26;78,95;7,52;11,8;54,07;3,39;5,98;1,151734198;0;0,02993461;0;0,674783536;0;0,894451984;2;-0,030979265;0;0,477426522;2;0,343511808;2;0,022579015;0;411,4801293;99,36269539;3,96820039;MuitoAlto;Hiperendem;Medio;861,1392;95,336;2,5153;MuitoAlto;Hiperendemico;Medio
20;378;5201454;APARECIDA DO RIO DOCE;5201454;2402;703;3,42;32,15;90,04;22,9;18,91;44,11;0,76;10,38;0,053398219;0;-1,202587193;4;0,365146275;0;-0,14236097;0;0,163265947;0;0,651136793;0;-0,16245022;0;0,012432924;0;125,9750807;25,31938965;3,877435295;Medio;MuitoAlto;Medio;548,5415;37,779;7,4425;MuitoAlto;MuitoAlto;Alto
21;379;5201504;APORÉ;5201504;3427;1027;3,34;38,56;94,35;44,3;17,66;55,51;4,39;5,45;0,132569036;0;-0,460168432;0;0,151049539;0;0,009764634;0;-0,142145959;0;0,256004506;0;0,386681211;2;0,036176487;0;65,06192535;38,38069658;22,50095631;Baixo;MuitoAlto;Hiperendem;309,2607;29,576;11,676;MuitoAlto;MuitoAlto;MuitoAlto
22;380;5201603;ARAÇU;5201603;4127;1246;3,31;17,9;91,73;17,01;2109;17,8;6,13;5,78;0,270219417;0;0,11191795;0;0,484048817;0;-0,106057957;0;0,054522801;0;0,041307754;0;0,361131405;2;0,01799933;0;99,59222356;34,02583866;2,750213749;Baixo;MuitoAlto;Medio;67,1509;63,765;5,8746;Baixo;Hiperendemico;Alto
23;381;5201702;ARAGARÇAS;5201702;16592;4737;3,5;11,32;93,24;17,44;14,77;63,13;6,33;13,41;-1,663337029;3;0,281355195;0;-1,013681256;3;-0,158768738;0;0,202431152;0;-0,003459759;0;-0,179565043;0;-0,012350208;0;130,6234093;120,7011581;49,16280884;Medio;Hiperendem;Hiperendem;810,6803;184,497;57,8003;MuitoAlto;Hiperendemico;Hiperendemico
24;382;5201801;ARAGOIÂNIA;5201801;6424;1887;3,4;51,46;91,57;36,57;17,01;76,06;2,28;0,69;0,518984264;0;0,125348057;0;-0,068196723;0;0,104122687;2;-0,390943846;0;0,599803707;2;0,943224593;2;-0,012608994;0;107,5279117;80,46639888;13,89072344;Medio;Hiperendem;MuitoAlto;217,3526;104,113;5,1769;Alto;Hiperendemico;Alto
25;383;5202155;ARAGUAPAZ;5202155;7310;2055;3,56;39,81;86,47;43,26;24,57;60,75;6,86;9,54;0,104140548;0;0,184517382;0;0,108735422;0;0,269507484;0;0,293076144;0;-0,003012143;0;-0,07903272;0;0,00485664;0;18,61262616;159,5119858;46,54439771;Baixo;Hiperendem;Hiperendem;14,8816;100,13;36,1617;Baixo;Hiperendemico;Hiperendemico
