ID;CD_GEOCODM;NM_MUNICIP;V8Mo;V8d;V1;V2;V3;V4;V5;V6;V7;V8;DB2001;HB2001;LTB2001;DBC2001;HBC2001;LTBC2001
516;5214606;NIQUELÂNDIA;38573;10328;31.39;59.28;36.73;18.16;64.42;6.78;4.79;3.73;42.51382043;106.3413583;192.7096407;Baixo;Medio;Alto
517;5214705;NOVA AMÉRICA;2185;650;33.69;68.31;36.77;18.27;35.22;4.43;0.62;3.36;15.8709908;26.77008255;29.59314909;Baixo;Baixo;Medio
518;5214804;NOVA AURORA;1927;601;17.47;74.71;23.63;15.45;41.68;2.26;1.83;3.21;17.84810206;51.98553695;31.76892256;Baixo;Baixo;Medio
519;5214838;NOVA CRIXÁS;11061;3010;60.13;40.07;46.81;25.21;75.28;7.48;8.77;3.67;3.415087245;180.9776523;16.9134458;Baixo;Alto;Baixo
520;5214861;NOVA GLÓRIA;8944;2708;36;92.36;52.47;18.93;39.31;8.32;11.12;3.3;15.01409719;63.696948;10.83590325;Baixo;Baixo;Baixo
521;5214879;NOVA IGUAÇU DE GOIÁS;2746;783;52.11;68.71;46.87;17.26;68.14;3.95;7.79;3.51;426.8826195;44.26069686;26.41240977;Medio;Baixo;Medio
522;5214903;NOVA ROMA;3717;926;30.78;53.02;67.39;21.09;72.43;18.08;17.71;4.01;62.83398897;20.55083264;3.065445318;Baixo;Baixo;Baixo
523;5215009;NOVA VENEZA;6414;1811;23.52;95.64;18.55;15.32;44.25;5.28;10.6;3.54;20.46883966;70.0883922;1.963509377;Baixo;Medio;Baixo
524;5215207;NOVO BRASIL;4181;1397;39.37;84.11;73.3;17.35;51.56;4.47;4.37;2.99;31.95593136;34.38582164;2.782265736;Baixo;Baixo;Baixo
525;5215231;NOVO GAMA;74380;18620;31.86;67.98;15.91;16.94;58.5;7.3;12.6;3.99;107.9409743;17.70302932;2.713888597;Baixo;Baixo;Baixo
526;5215256;NOVO PLANALTO;3432;929;30.57;95.05;59.85;19.92;59.35;7.49;12.16;3.69;67.56830427;39.30908454;3.227563213;Baixo;Baixo;Baixo
527;5215306;ORIZONA;13067;3847;46.53;91.29;48.77;12.99;21.53;3.15;3.93;3.4;17.86905722;53.16948618;1.093276069;Baixo;Baixo;Baixo
528;5215405;OURO VERDE DE GOIÁS;4358;1237;44.7;92.4;44.95;15.86;41.92;8.45;8.57;3.52;8.417967365;18.14157159;19.12454957;Baixo;Baixo;Medio
529;5215504;OUVIDOR;4271;1284;25.78;92.76;25.7;11.39;38.45;3.79;5.92;3.33;30.4393561;48.32033844;2.682943856;Baixo;Baixo;Baixo
530;5215603;PADRE BERNARDO;21514;5681;45.24;80.39;50.06;21.07;62.54;9.38;18.71;3.79;440.5311223;78.64809308;4.87706526;Medio;Medio;Baixo
531;5215652;PALESTINA DE GOIÁS;3307;983;51.58;83.21;55.95;19;59.73;7.89;5.29;3.36;10.84926166;39.15587095;3.213507343;Baixo;Baixo;Baixo
532;5215702;PALMEIRAS DE GOIÁS;17822;5357;57.7;88.71;29.01;13.99;57.35;4.96;5.26;3.33;35.29142536;35.71945173;16.14036605;Baixo;Baixo;Baixo
533;5215801;PALMELO;2309;705;10.21;85.96;8.09;17.6;31.89;2.28;2.27;3.28;15.06452565;112.0357192;4.000703662;Baixo;Medio;Baixo
534;5215900;PALMINÓPOLIS;3561;1108;36.19;69.31;35.38;13.28;17.25;0.81;0.54;3.21;10.17071054;37.5780271;21.97765107;Baixo;Baixo;Medio
535;5216007;PANAMÁ;2776;884;30.43;81.45;30.09;19.18;32.22;5.99;10.18;3.14;12.68880927;23.59174611;25.62062988;Baixo;Baixo;Medio
536;5216304;PARANAIGUARA;8192;2548;11.42;10.44;15.38;17.43;35.61;7.54;7.22;3.22;28.08552441;30.32586934;1.624557427;Baixo;Baixo;Baixo
537;5216403;PARAÚNA;10834;3136;30.29;67.41;31.19;18.29;52.86;4.26;4.91;3.45;120.0230622;69.53966914;9.187186293;Baixo;Medio;Baixo
538;5216452;PEROLÂNDIA;2791;638;44.04;85.74;32.6;18.38;48.01;6.04;8.93;4.37;12.14118189;41.96631078;3.473408329;Baixo;Baixo;Baixo
539;5216809;PETROLINA DE GOIÁS;10381;3071;39.37;88.15;38.42;19.9;58.53;3.95;2.61;3.38;22.58401285;41.17234989;26.21795407;Baixo;Baixo;Medio
540;5216908;PILAR DE GOIÁS;3339;936;61.22;49.89;68.16;15.96;59.62;9.69;4.81;3.57;11.39455372;22.10498182;3.325413735;Baixo;Baixo;Baixo
541;5217104;PIRACANJUBA;23557;7166;46.73;87.43;31.02;14.15;30.94;3.02;4.87;3.29;22.53462053;73.9123355;0.639181492;Baixo;Medio;Baixo
542;5217203;PIRANHAS;12287;3665;24.94;86.11;21.83;16.69;60.51;8.17;9.03;3.35;485.3601303;180.3439284;15.51094033;Medio;Alto;Baixo
543;5217302;PIRENÓPOLIS;21245;5789;36.24;75.33;42.08;18.17;44.94;6.13;8.41;3.67;1.797483474;64.63202201;48.65730044;Baixo;Medio;Alto
544;5217401;PIRES DO RIO;26229;7685;9.79;83.29;19.31;10.4;31.03;2.54;2.75;3.41;31.25924376;49.14035601;18.22555217;Baixo;Baixo;Medio
545;5217609;PLANALTINA;73718;18219;26.35;94.23;27.64;20.65;64.37;9.44;17.37;4.05;5.614585966;33.92807718;5.228625535;Baixo;Baixo;Baixo
546;5217708;PONTALINA;16556;5153;31.32;93.15;22.55;14.86;28.54;2.99;4.66;3.21;55.44517563;6.362536054;6.307890031;Baixo;Baixo;Baixo
547;5218003;PORANGATU;39593;10942;35.26;89.32;20.26;14.95;53.47;4.62;7.19;3.62;83.62792315;95.70782222;80.06218491;Baixo;Medio;Alto
548;5218052;PORTEIRÃO;2823;805;34.66;66.46;16.65;21.58;56.98;4.21;9.19;3.51;12.53609917;42.77860283;3.549350985;Baixo;Baixo;Baixo
549;5218102;PORTELÂNDIA;3696;1036;39.48;95.08;26.83;16.82;51.4;3.75;7.24;3.57;9.629439659;36.26467206;2.950666458;Baixo;Baixo;Baixo
550;5218300;POSSE;25696;6168;25.99;77.01;48.83;25.14;64.28;10.78;15.22;4.17;85.16301184;25.40794753;22.17886816;Baixo;Baixo;Medio
551;5218391;PROFESSOR JAMIL;3403;976;35.35;79.41;34.43;18.66;38.51;5.77;7.79;3.49;118.7375177;107.3410551;3.126249781;Baixo;Medio;Baixo
552;5218508;QUIRINÓPOLIS;36512;11174;34.37;20.31;20.55;14.22;38.25;4.7;7.47;3.27;190.1775703;36.34077235;39.37274935;Medio;Baixo;Medio
553;5218607;RIALMA;10210;2861;11.43;87;11.57;12.78;52.7;3.5;5.7;3.57;60.3001923;48.97025029;117.1532762;Baixo;Baixo;Alto
554;5218706;RIANÁPOLIS;4364;1242;17.79;88.33;19.16;18.52;52.79;6.53;7.65;3.51;51.78502137;107.6392777;51.79298908;Baixo;Medio;Alto
555;5218789;RIO QUENTE;2097;627;35.41;73.52;21.85;9.52;37.8;2.1;4.15;3.34;15.55707667;70.25237211;4.082192069;Baixo;Medio;Baixo
556;5218805;RIO VERDE;116552;32769;26.6;35.86;14.06;13.39;42.9;3.98;5.59;3.56;27.8085733;41.92519288;12.47377449;Baixo;Baixo;Baixo
557;5218904;RUBIATABA;18087;5396;20.18;94.68;20.87;15.43;40.72;3.47;3.3;3.35;110.3084791;44.76927146;20.8328069;Baixo;Baixo;Medio
558;5219001;SANCLERLÂNDIA;7530;2358;17.64;85.2;37.49;16.12;40.69;8.33;8.99;3.19;43.85602657;63.29486473;1.760954535;Baixo;Baixo;Baixo
559;5219100;SANTA BÁRBARA DE GOIÁS;4963;1409;18.31;89.57;12.56;16.47;44.85;3.62;7.24;3.52;101.489611;83.93856742;17.07882016;Baixo;Medio;Baixo
560;5219209;SANTA CRUZ DE GOIÁS;3470;1026;58.87;92.3;59.16;13.72;24.68;2.62;3.9;3.38;10.36770276;55.2572193;3.111867196;Baixo;Baixo;Baixo
561;5219258;SANTA FÉ DE GOIÁS;4083;1138;39.98;87.52;29.53;19;49.85;6.92;13.09;3.59;8.806516091;65.08738232;2.762851469;Baixo;Medio;Baixo
562;5219308;SANTA HELENA DE GOIÁS;34545;9891;26.69;72.39;13.27;18.25;47.32;2.63;6.36;3.49;81.28146059;108.6336921;11.42817245;Baixo;Medio;Baixo
563;5219357;SANTA ISABEL;3592;1100;36.27;88.55;47.45;19.31;46.92;6.15;3.55;3.27;63.11662349;20.61033527;59.90722136;Baixo;Baixo;Alto
564;5219407;SANTA RITA DO ARAGUAIA;5087;1505;13.95;89.9;11.56;16.9;50.64;9.67;15.61;3.38;230.5393367;43.00564977;31.46717181;Medio;Baixo;Medio
565;5219456;SANTA RITA DO NOVO DESTINO;3025;745;57.72;84.3;61.07;24.56;61.82;2.15;3.76;4.06;11.72740737;22.49953701;45.18307032;Baixo;Baixo;Medio
566;5219506;SANTA ROSA DE GOIÁS;3548;1080;47.41;95.19;35.46;17.85;29.08;8.36;6.3;3.29;91.11914328;55.27624922;22.28952679;Baixo;Baixo;Medio
567;5219605;SANTA TEREZA DE GOIÁS;4697;1333;19.43;80.2;47.26;17.77;59.94;12.43;10.5;3.52;274.8903914;89.20778318;18.25071002;Medio;Medio;Medio
568;5219704;SANTA TEREZINHA DE GOIÁS;12015;3321;50.74;84.85;27.76;19.84;60.55;3.61;3.01;3.62;71.90760214;205.1136652;8.831865612;Baixo;Alto;Baixo
569;5219712;SANTO ANTÔNIO DA BARRA;4052;1112;33.72;71.49;25.27;25.4;52.5;7.64;10.07;3.64;123.0566944;111.4666552;19.7820274;Baixo;Medio;Medio
570;5219738;SANTO ANTÔNIO DE GOIÁS;3106;819;21.37;97.19;15.87;17.5;60.43;2.21;2.93;3.79;241.9778326;75.75685611;3.269819652;Medio;Medio;Baixo
571;5219753;SANTO ANTÔNIO DO DESCOBERTO;51897;12995;36.41;96.01;46.78;20.24;60.12;10.19;16.61;3.99;13.04971876;13.98980968;3.722153388;Baixo;Baixo;Baixo
572;5219803;SÃO DOMINGOS;9636;2289;43.69;51.46;65.57;29.93;63.84;19.57;23.29;4.21;14.22188283;10.22627413;45.92530723;Baixo;Baixo;Medio
573;5219902;SÃO FRANCISCO DE GOIÁS;6028;1675;40.12;82.75;37.97;20.3;43.66;6.24;6.27;3.6;22.24706364;122.7264991;2.100987876;Baixo;Alto;Baixo
574;5220009;SÃO JOÃO D'ALIANÇA;6736;1677;31.31;83.48;38.22;19.82;66.45;9.41;12.28;4.02;5.252636854;44.64879643;24.46989719;Baixo;Baixo;Medio
575;5220058;SÃO JOÃO DA PARAÚNA;2024;633;38.55;18.48;38.86;15.48;23.37;4.29;3.79;3.2;16.99795283;27.75874536;30.85804016;Baixo;Baixo;Medio
576;5220108;SÃO LUÍS DE MONTES BELOS;26383;8019;17.28;61.4;19.62;13.77;45.34;4.77;5.94;3.29;72.47595407;167.1675048;7.655179662;Baixo;Alto;Baixo
577;5220157;SÃO LUÍZ DO NORTE;4089;1132;67.05;84.19;42.23;22.09;64.27;7.6;10.78;3.61;78.19641479;127.8554213;2.785129757;Baixo;Alto;Baixo
578;5220207;SÃO MIGUEL DO ARAGUAIA;22793;6298;52.4;88.54;22.09;19.34;54.56;6.84;12.48;3.62;142.54255;286.9476328;76.89317805;Medio;Alto;Alto
579;5220264;SÃO MIGUEL DO PASSA QUATRO;3481;937;61.58;90.07;60.09;11.62;11.37;1.94;5.55;3.72;10.19492421;20.60682558;3.074735029;Baixo;Baixo;Baixo
580;5220280;SÃO PATRÍCIO;1835;543;54.33;62.43;52.85;18.55;46.33;10.66;12.89;3.38;18.66945544;53.17373299;32.61580259;Baixo;Baixo;Medio
581;5220405;SÃO SIMÃO;13552;4061;2.93;18.27;5.15;17.1;45.91;8.23;11.2;3.34;45.49512488;57.10847858;1.044997945;Baixo;Baixo;Baixo
582;5220454;SENADOR CANEDO;53105;14249;46.39;94.59;12.37;14.33;60.33;5.69;8.49;3.73;366.6216545;66.53517843;3.706521788;Medio;Medio;Baixo
583;5220504;SERRANÓPOLIS;6447;1959;42.73;81.83;42.78;18.6;43.97;5.77;4.75;3.29;36.6908559;37.35557638;14.52790262;Baixo;Baixo;Baixo
584;5220603;SILVÂNIA;20339;5731;46.92;81.96;47.37;13.77;22.09;4.99;8.29;3.55;18.58850128;5.959871798;5.896681036;Baixo;Baixo;Baixo
585;5220686;SIMOLÂNDIA;6219;1500;12.6;82.4;41.13;26.88;77.48;17.59;15.6;4.15;67.27772613;60.5095297;26.96946477;Baixo;Baixo;Medio
586;5220702;SÍTIO D'ABADIA;2681;636;43.71;43.08;90.25;30.16;62.19;12.3;24.21;4.22;13.29734099;44.28730433;3.691398465;Baixo;Baixo;Baixo
587;5221007;TAQUARAL DE GOIÁS;3587;1109;35.26;90.35;34.08;17.3;42.87;9.96;11;3.23;1247.469183;38.03721009;3.111270793;Alto;Baixo;Baixo
588;5221080;TERESINA DE GOIÁS;2585;625;31.84;63.68;31.84;29.78;88.32;18.16;19.52;4.14;13.00128239;23.93234321;3.636817976;Baixo;Baixo;Baixo
589;5221197;TEREZÓPOLIS DE GOIÁS;5083;1336;39;90.57;21.48;21.8;59.1;4.91;5.46;3.8;43.40761253;95.02741686;2.320856862;Baixo;Medio;Baixo
590;5221304;TRÊS RANCHOS;2831;870;34.14;95.63;22.99;12;45.55;7.02;9.31;3.25;364.9916026;23.22053671;3.514769842;Medio;Baixo;Baixo
591;5221403;TRINDADE;81457;22134;30.43;61.54;7.18;13.96;43.02;4.92;10.41;3.68;261.3600819;88.17724353;2.486310673;Medio;Medio;Baixo
592;5221452;TROMBAS;3434;949;29.93;81.56;47.21;19.22;67.03;9.23;9.17;3.62;10.76742301;38.96946067;22.88640407;Baixo;Baixo;Medio
593;5221502;TURVÂNIA;5134;1589;28.07;89.49;31.4;16.91;23.91;4.26;4.22;3.23;26.03967988;164.7254;2.380412041;Baixo;Alto;Baixo
594;5221551;TURVELÂNDIA;3524;959;36.6;76.02;37.33;23.34;40.89;9.61;7.51;3.67;9.9194113;36.97450608;3.014778918;Baixo;Baixo;Baixo
595;5221577;UIRAPURU;3043;822;43.67;34.67;44.4;23.73;53.63;12.94;12.9;3.7;7825.840346;134.632475;192.375946;Alto;Alto;Alto
596;5221601;URUAÇU;33530;9351;35.16;80.3;23.84;16.9;55.25;7.48;11.29;3.59;520.5958226;106.7876311;43.08862425;Medio;Medio;Medio
597;5221700;URUANA;13938;4097;25.65;86.8;29.05;15.31;34.28;4.8;7.96;3.4;73.18633454;13.57364822;26.52906612;Baixo;Baixo;Medio
598;5221809;URUTAÍ;3104;954;32.18;87;30.4;12.37;45.7;2.98;8.91;3.25;70.94434743;22.18603548;44.47675451;Baixo;Baixo;Medio
599;5221858;VALPARAÍSO DE GOIÁS;94856;24551;57.04;72.99;7.23;11.9;57.47;5.84;10.73;3.86;119.6038484;8.056289281;1.147231671;Baixo;Baixo;Baixo
600;5221908;VARJÃO;3519;1102;44.1;93.19;40.93;20.14;49.21;3.34;3.18;3.19;10.33711432;55.15278856;3.105319312;Baixo;Baixo;Baixo
601;5222005;VIANÓPOLIS;11300;3165;36.65;93.52;30.43;14.87;42.49;3.94;6.41;3.57;3.268536378;15.91912313;16.2695228;Baixo;Baixo;Baixo
602;5222054;VICENTINÓPOLIS;6015;1717;17.18;77.93;18.75;17.48;29.01;6.56;10.25;3.5;21.89200275;180.6339898;2.073879135;Baixo;Alto;Baixo
603;5222203;VILA BOA;3287;785;14.01;76.82;32.99;27.57;75.06;11.28;10.06;4.19;66.88624794;39.0589917;3.204626265;Baixo;Baixo;Baixo
604;5222302;VILA PROPÍCIO;4492;1164;64.35;69.67;72.59;28.97;54.41;7.42;15.81;3.86;49.71291289;17.56233934;2.577717426;Baixo;Baixo;Baixo
605;5300108;BRASILIA;2051146;547656;11.32;9.59;3.86;8.82;49.92;3.14;7.02;3.75;75.29228274;17.25003603;2.437263086;Baixo;Baixo;Baixo
359;5200050;ABADIA DE GOIÁS;6858;2132;25.47;64.59;10.65;8.01;56.63;27.39;8.82;3.22;951.5225808;77.85967771;1.571991421;Baixo;Medio;Baixo
360;5200100;ABADIÂNIA;15299;4637;27.35;21.05;24.74;10.66;56.06;32.48;10.24;3.3;89.48563149;3.534078292;0.768823021;Baixo;Baixo;Baixo
361;5200134;ACREÚNA;20029;6427;40.14;82.42;8.96;15.13;60.45;30.25;9.46;3.12;1267.452834;144.2910662;5.172127291;Medio;Alto;Baixo
362;5200159;ADELÂNDIA;2460;844;14.81;77.01;11.85;14.16;58.18;31.28;9.24;2.91;84.57595431;63.6053802;3.24545985;Baixo;Medio;Baixo
363;5200175;ÁGUA FRIA DE GOIÁS;4985;1594;48.31;98.81;47.8;15.11;63.56;48.56;23.9;3.13;119.1391959;83.51947373;31.6988899;Baixo;Medio;Medio
364;5200209;ÁGUA LIMPA;2007;734;30.93;93.05;27.38;9.91;44.41;29.29;8.04;2.73;2390.964954;16.87788013;3.664475761;Medio;Baixo;Baixo
365;5200258;ÁGUAS LINDAS DE GOIÁS;158976;44228;13.14;81.15;6.22;9.7;67.34;38.52;13.43;3.59;169.9170847;14.03457188;0.082960654;Baixo;Baixo;Baixo
366;5200308;ALEXÂNIA;23704;7409;29.07;81.85;15.14;12.14;59.33;39.44;15.87;3.2;63.44756514;18.1268353;0.524988959;Baixo;Baixo;Baixo
367;5200506;ALOÂNDIA;2047;800;16.5;77.63;13.5;13.55;47.68;25.38;9.5;2.56;55.06517393;16.73075657;3.632611613;Baixo;Baixo;Baixo
368;5200555;ALTO HORIZONTE;4500;1453;14.59;98;14.59;12.99;67.46;27.87;8.12;3.1;1223.429854;124.171147;2.176869414;Medio;Alto;Baixo
369;5200605;ALTO PARAÍSO DE GOIÁS;6794;2110;21.75;53.03;18.96;12.82;65.88;36.3;15.36;3.22;16.87854578;7.233389188;119.2184177;Baixo;Baixo;Alto
370;5200803;ALVORADA DO NORTE;8061;2410;16.27;77.18;17.59;18.32;73.33;47.43;21.78;3.34;3168.589902;47.47101676;1.374060507;Alto;Baixo;Baixo
371;5200829;AMARALINA;3434;1091;65.72;65.72;61.41;15.83;72.95;59.58;31.44;3.15;147.3639758;51.755739;22.40437737;Baixo;Baixo;Medio
372;5200852;AMERICANO DO BRASIL;5488;1922;20.34;98.44;12.75;14.72;55.99;34.91;15.56;2.86;843.2135235;64.66967083;57.86151091;Baixo;Medio;Alto
373;5200902;AMORINÓPOLIS;3529;1286;27.29;90.44;32.04;17.56;50.04;31.03;11.98;2.74;140.0625019;30.84036271;21.62239692;Baixo;Baixo;Medio
374;5201108;ANÁPOLIS;333280;104258;16.32;40.56;1.79;6.65;52.43;23.24;7.01;3.2;1571.436362;31.66830071;1.821878498;Medio;Baixo;Baixo
375;5201207;ANHANGUERA;1010;350;6.86;89.43;8.57;3.34;52.25;15.71;3.71;2.89;196.9405168;61.05073358;42.73054435;Baixo;Medio;Medio
376;5201306;ANICUNS;20120;6825;18.24;40.82;15.68;10.06;55.26;27.91;10.36;2.95;158.0333424;62.16805004;0.610202228;Baixo;Medio;Baixo
377;5201405;APARECIDA DE GOIÂNIA;452879;136382;42.5;63.29;0.55;7.39;61.58;23.85;7.17;3.32;2176.986888;69.88210224;3.090200438;Medio;Medio;Baixo
378;5201454;APARECIDA DO RIO DOCE;2417;818;23.59;32.52;11.86;13.39;58.38;31.05;12.96;2.95;999.1531291;89.01917349;3.285339191;Baixo;Medio;Baixo
379;5201504;APORÉ;3778;1262;33.28;72.27;33.91;13.33;55.48;25.04;6.34;2.99;3416.932455;29.68342601;2.454218391;Alto;Baixo;Baixo
380;5201603;ARAÇU;3794;1299;13.63;93.23;9.62;14.82;54.89;34.03;11.39;2.92;805.2062628;103.7357149;2.465989007;Baixo;Medio;Baixo
381;5201702;ARAGARÇAS;17912;5703;4.51;96.02;4.45;9.63;66.79;28.16;8.78;3.14;2501.423956;183.6493377;35.76480622;Alto;Alto;Medio
382;5201801;ARAGOIÂNIA;8352;2693;43.97;97.88;12.18;11.22;55.27;29.86;11.07;3.1;403.8686769;66.12858288;1.33535496;Baixo;Medio;Baixo
383;5202155;ARAGUAPAZ;7456;2568;38.94;47.55;28.82;17.45;66.14;34.66;12.77;2.9;1226.051492;72.36521008;165.4117357;Medio;Medio;Alto
384;5202353;ARENÓPOLIS;3270;1200;35;70;28.5;13.88;56.55;35.33;13.08;2.73;153.7588276;53.29627348;63.76924057;Baixo;Baixo;Alto
385;5202502;ARUANÃ;7457;2404;37.94;70.01;18.93;12.56;67.34;30.53;10.19;3.1;1161.326953;39.57279823;1.4622868;Medio;Baixo;Baixo
386;5202601;AURILÂNDIA;3621;1362;17.03;97.58;18.36;15.1;58.27;32.97;11.09;2.66;245.5041964;49.53918156;2.528967113;Baixo;Baixo;Baixo
387;5202809;AVELINÓPOLIS;2439;853;22.27;69.64;19.93;12.39;51.22;34.11;12.19;2.86;203.8716166;137.6697722;27.73810146;Baixo;Alto;Medio
388;5203104;BALIZA;3708;1269;71.63;82.43;70.69;16.98;65.32;56.11;34.59;2.92;478.1841184;48.94556588;301.5585928;Baixo;Baixo;Alto
389;5203203;BARRO ALTO;8622;2514;20.92;93.16;17.38;12.02;58.98;25.93;7.76;3.43;8775.849537;112.4532917;59.33660517;Alto;Medio;Alto
390;5203302;BELA VISTA DE GOIÁS;24360;8118;43.11;61.43;13.51;9.66;48.79;24.24;7.87;3;845.3577865;29.09953668;0.510728568;Baixo;Baixo;Baixo
391;5203401;BOM JARDIM DE GOIÁS;8316;2828;31.12;98.3;25.11;15.44;60.39;37.55;14.99;2.94;1329.970482;115.5639367;41.09397519;Medio;Medio;Medio
392;5203500;BOM JESUS DE GOIÁS;20557;6547;30.38;67.48;6.89;11.03;53.47;25.69;9.44;3.14;1538.15161;29.58572516;0.597733586;Medio;Baixo;Baixo
393;5203559;BONFINÓPOLIS;7503;2363;12.99;92.38;7.24;11.07;53.91;30.64;10.11;3.18;290.8925985;39.44323558;1.457503968;Baixo;Baixo;Baixo
394;5203575;BONÓPOLIS;3111;1022;43.25;59.88;36.59;19.3;67.34;41.88;14.58;3.04;1035.622855;109.4381343;60.97729616;Baixo;Medio;Alto
395;5203609;BRAZABRANTES;3220;1082;22;96.12;15.8;11.25;51.83;26.52;7.86;2.98;846.943711;12.61940636;2.741611788;Baixo;Baixo;Baixo
396;5203807;BRITÂNIA;5483;1848;28.73;72.73;15.64;15.26;64.97;32.95;10.44;2.97;146.0675844;106.700905;1.870984661;Baixo;Medio;Baixo
397;5203906;BURITI ALEGRE;8962;3152;10.12;70.78;4.98;9.72;40.09;25.29;8.03;2.84;89.39766691;52.552488;1.25030368;Baixo;Baixo;Baixo
398;5203939;BURITI DE GOIÁS;2556;939;16.4;97.98;17.36;12.32;58.09;26.62;8.73;2.72;233.1730982;110.1761273;3.185145366;Baixo;Medio;Baixo
399;5203962;BURITINÓPOLIS;3308;962;33.47;86.17;40.54;17.38;73.44;54.57;26.72;3.44;1326.496441;52.85447353;2.697901799;Medio;Baixo;Baixo
400;5204003;CABECEIRAS;7324;2308;25.52;78.51;21.75;14.28;69.15;46.06;18.59;3.17;69.60203461;6.844835807;1.488334819;Baixo;Baixo;Baixo
401;5204102;CACHOEIRA ALTA;10328;3401;26.11;25.37;22.73;11.93;45.55;20.35;6.76;3.04;5563.748326;46.14649818;17.52498015;Alto;Baixo;Baixo
402;5204201;CACHOEIRA DE GOIÁS;1417;494;17.21;84.82;16.8;12.99;58.65;33.81;8.1;2.87;477.1125277;20.17692871;4.378623245;Baixo;Baixo;Baixo
403;5204250;CACHOEIRA DOURADA;8247;2741;23.28;56.48;11.75;14.31;53.6;28.24;10.73;3.01;863.9922376;36.52904775;1.34991791;Baixo;Baixo;Baixo
404;5204300;CAÇU;13023;4309;23.58;39.66;19.77;9.34;33.32;16.31;3.6;3.02;3787.176973;24.24651335;21.01014333;Alto;Baixo;Medio
405;5204409;CAIAPÔNIA;16438;5676;24.4;49.31;23.54;14.29;60.58;31.54;11.45;2.9;1713.231122;41.46932881;71.49489832;Medio;Baixo;Alto
406;5204508;CALDAS NOVAS;69923;23014;15.86;36.66;4.13;6.88;49.11;20.6;6.12;3.04;412.7220643;39.69230635;7.120316023;Baixo;Baixo;Baixo
407;5204557;CALDAZINHA;3325;1101;41.78;53.86;27.52;10.98;48.72;36.88;18.89;3.02;239.7905612;12.41031581;2.696269378;Baixo;Baixo;Baixo
408;5204607;CAMPESTRE DE GOIÁS;3383;1068;31.93;98.22;29.78;12.05;66.19;38.48;13.95;3.17;667.1509259;12.24943252;22.56940735;Baixo;Baixo;Medio
409;5204656;CAMPINAÇU;3656;1208;41.56;92.3;40.81;13.03;55.85;41.64;17.63;3.03;165.0373405;11.63011952;59.23676702;Baixo;Baixo;Alto
410;5204706;CAMPINORTE;10999;3422;26.33;68.47;15.43;12.53;64.23;33.96;11.22;3.21;501.4810494;83.30073024;32.41825399;Baixo;Medio;Medio
411;5204805;CAMPO ALEGRE DE GOIÁS;6017;1926;29.75;76.12;23.88;11.46;51.52;24.92;7.84;3.12;133.0382484;7.993063453;1.737709426;Baixo;Baixo;Baixo
412;5204854;CAMPO LIMPO DE GOIÁS;6237;1910;35.86;80.47;15.5;13.53;56.79;33.93;9.79;3.27;2268.140243;7.777472692;1.690893405;Medio;Baixo;Baixo
413;5204904;CAMPOS BELOS;18337;5356;15.57;47.72;9.15;15.14;77.21;46.15;21.71;3.42;4518.981282;58.00710077;45.59751634;Alto;Baixo;Medio
414;5204953;CAMPOS VERDES;4983;1665;40.18;91.53;22.82;18.8;70;53.33;26.85;2.99;199.1433839;505.5517293;32.04643939;Baixo;Alto;Medio
415;5205000;CARMO DO RIO VERDE;8876;3007;21.02;74.86;18.86;10.68;53.82;36.45;13.54;2.95;589.1468189;53.13441445;20.17648893;Baixo;Baixo;Medio
416;5205059;CASTELÂNDIA;3629;1203;24.11;68.08;8.4;23.36;64.9;35.33;14.3;3.02;407.3929376;49.65209115;2.534721197;Baixo;Baixo;Baixo
417;5205109;CATALÃO;86223;27922;7.1;45.67;5.33;6.28;41.55;15.61;4.54;3.09;1182.663091;50.56921303;6.951681136;Medio;Baixo;Baixo
418;5205208;CATURAÍ;4680;1513;28.55;62.59;19.56;13.09;58.07;33.18;9.65;3.09;171.8327618;57.39529588;2.11991131;Baixo;Baixo;Baixo
419;5205307;CAVALCANTE;9340;2682;47.35;84.53;49.03;26.4;83.72;56.86;35.38;3.48;22.92227754;23.72003753;1.211990094;Baixo;Baixo;Baixo
420;5205406;CERES;20671;6838;7.79;62.06;6.6;7.81;50.8;20.59;5.37;3.02;4766.762097;69.97795211;14.03848127;Alto;Medio;Baixo
421;5205455;CEZARINA;7503;2386;20.33;94.76;20.62;10.55;58.85;33.07;10.73;3.14;735.7852345;61.1899878;1.455599585;Baixo;Medio;Baixo
422;5205471;CHAPADÃO DO CÉU;7000;2096;15.79;29.2;12.83;6.23;54.68;10.31;2.91;3.34;1299.962235;30.28831703;13.12118865;Medio;Baixo;Baixo
423;5205497;CIDADE OCIDENTAL;55810;15862;11.63;44.24;6.59;8.32;65.37;30.34;10.82;3.52;203.9918926;14.97858852;3.709522125;Baixo;Baixo;Baixo
424;5205513;COCALZINHO DE GOIÁS;17143;5272;45.73;81.13;24.13;12.76;65.58;41.81;17.05;3.25;269.9086094;113.6511507;0.702596376;Baixo;Medio;Baixo
425;5205521;COLINAS DO SUL;3399;1086;34.25;93.74;31.03;15.39;74.85;45.03;20.17;3.13;115.6169988;11.92595302;99.50736668;Baixo;Baixo;Alto
426;5205703;CÓRREGO DO OURO;2622;952;37.92;84.45;37.71;10.07;56.88;28.68;9.45;2.75;890.2082652;155.4081635;3.134363455;Baixo;Alto;Baixo
