ID;CD_GEOCODM;NM_MUNICIP;V8Mo;V8d;V1;V2;V3;V4;V5;V6;V7;V8;DB2001;HB2001;LTB2001;DBC2001;HBC2001;LTBC2001
394;5203575;BONÓPOLIS;2598;671;55.74;66.77;66.77;21.58;62.32;7.29;14.61;3.87;13.66993961;24.63890041;26.91390443;Baixo;Baixo;Medio
395;5203609;BRAZABRANTES;2772;809;33.37;84.43;21.63;17.31;40.47;1.6;5.07;3.43;143.5314919;81.79102297;3.564157074;Medio;Medio;Baixo
396;5203807;BRITÂNIA;5279;1485;32.86;62.96;30.57;19.12;57.72;4.45;8.15;3.55;6.92133523;316.042183;2.296885563;Baixo;Alto;Baixo
397;5203906;BURITI ALEGRE;8718;2892;20.02;71.65;16.39;15.44;21.9;4.77;5.12;3.01;37.87500861;47.23412965;1.555296353;Baixo;Baixo;Baixo
398;5203939;BURITI DE GOIÁS;2659;823;23.33;74.73;25.27;13.85;24.24;5.08;4.25;3.23;13.00128239;23.93234321;3.636817976;Baixo;Baixo;Baixo
399;5203962;BURITINÓPOLIS;3383;780;27.56;57.56;57.82;32.75;79.64;36.71;34.74;4.34;10.57247662;38.52117723;3.155417518;Baixo;Baixo;Baixo
400;5204003;CABECEIRAS;6758;1805;30.08;88.37;46.65;19.41;71.33;10.67;13.96;3.74;5.491380801;13.28279458;1.905879278;Baixo;Baixo;Baixo
401;5204102;CACHOEIRA ALTA;8646;2674;34.29;37.14;31.94;16.86;33.53;4.44;7.7;3.23;49.45558237;29.29097069;59.44343533;Baixo;Baixo;Alto
402;5204201;CACHOEIRA DE GOIÁS;1498;462;20.78;65.37;22.94;20.16;42;4.94;8.87;3.24;22.24738173;31.64194343;5.023247683;Baixo;Baixo;Baixo
403;5204250;CACHOEIRA DOURADA;8525;2509;28.62;62.61;14.79;18.36;32.64;9.34;11.4;3.4;233.5536468;20.42544858;11.36457562;Medio;Baixo;Baixo
404;5204300;CAÇU;10575;3160;28.07;44.37;26.52;14.57;41.12;2.73;2.78;3.35;22.26362323;71.91803926;50.45420201;Baixo;Medio;Alto
405;5204409;CAIAPÔNIA;14673;4273;25.53;44;31.34;19.74;63.99;6.65;7.47;3.43;9.258648085;71.59088501;13.13474859;Baixo;Medio;Baixo
406;5204508;CALDAS NOVAS;49660;14519;33.64;57.34;7.52;10.89;41.41;3.92;7.27;3.42;57.33488954;29.42564067;3.967903084;Baixo;Baixo;Baixo
407;5204557;CALDAZINHA;2859;817;63.4;85.07;59.36;16.01;6.12;2.31;3.18;3.5;43.12731383;41.66567022;3.445395338;Baixo;Baixo;Baixo
408;5204607;CAMPESTRE DE GOIÁS;3167;779;33.25;86.52;29.78;22.15;39.47;5.24;6.68;4.07;125.4994887;39.56240069;143.4267475;Medio;Baixo;Alto
409;5204656;CAMPINAÇU;3707;1049;57.39;64.92;65.4;22.71;61.16;10.2;11.34;3.53;244.8348967;20.42250714;3.044176365;Medio;Baixo;Baixo
410;5204706;CAMPINORTE;9641;2753;38.69;87;36.94;18.6;53.8;6.29;9.04;3.5;980.4850257;75.95091295;36.08840601;Alto;Medio;Medio
